Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Cuba,24852.72,18125.82,17054.22,17124.239999999998,17058.9,17097.3,21951.9,18001.260000000002,16797.18,19679.244,18746.07,17098.44,14346.3,13410.42,10799.04,5974.998,6291.0,6591.402,8007.138000000001,5526.179999999999,6509.82,6009.4800000000005,5288.5199999999995,6401.1,6085.26,5989.086,6156.0,6793.554,7659.0599999999995,7810.973999999999
Dominican Republic,52803.72,19233.6,38268.9,36236.64,43780.2,53137.5,31130.879999999997,56474.52,29195.52,36412.74,28022.28,23217.480000000003,27311.879999999997,21040.38,29440.739999999998,18602.814,23200.026,27894.503999999997,38701.77,21147.87,22689.372,29432.489999999998,29305.842,25523.615999999998,23817.246,23997.257999999998,24732.510000000002,24745.505999999998,25854.582,24098.088
Haiti,23572.8,27801.12,29991.300000000003,27041.82,27014.76,30836.700000000004,25703.22,25909.079999999998,26354.82,23941.62,25191.0,24158.399999999998,22436.7,22430.52,21912.66,21360.384,21726.72,21564.684,21520.932,21035.010000000002,20971.686,20951.694,20983.914,20712.588,20592.402000000002,20451.882,20494.686,20542.812,20813.496,20798.97
Philippines,58417.92,61108.92,55191.06,52491.3,52605.840000000004,50975.4,53389.14,56128.32,40603.740000000005,37305.804000000004,20455.308,15760.920000000002,15312.6,17561.46,21288.78,25940.232,26466.534,26736.678,35210.022000000004,43825.085999999996,11343.198,10779.666000000001,10647.696,11140.92,11592.852,12484.356,12878.501999999999,12199.074,12372.612,18392.064
Tanzania,55906.74,47398.619999999995,47186.04,44062.5,40741.44,53827.26,45836.4,37426.799999999996,44358.72,50533.086,48532.284,37445.340000000004,49416.54,36704.04,45790.92,48264.396,49308.42,48587.748,71176.93800000001,40496.058,50754.462,38462.346,69067.29,48656.112,45160.11,55810.32,50765.514,47004.204000000005,70491.558,55583.55
Zambia,1361.16,1748.2800000000002,1758.4199999999998,1596.3600000000001,1287.3,1579.98,1981.5,2307.7200000000003,3701.16,3523.5,5602.44,5980.32,7135.620000000001,6019.98,6622.62,6176.160000000001,3364.176,3688.422,2081.802,1693.02,790.698,671.3340000000001,322.17,645.162,156.666,221.34,799.086,1116.9360000000001,2056.95,872.568
Cameroon,100949.04,103556.88,15622.559999999998,40974.78,24333.420000000002,39602.399999999994,85931.34000000001,53336.520000000004,66836.40000000001,82189.44,66788.58,41140.62,48047.7,54016.920000000006,43642.92,52182.941999999995,49089.984,47718.276000000005,43494.024,54136.878,31628.082,40159.469999999994,22261.182,24229.865999999998,28986.306,23450.273999999998,17512.566,22173.174000000003,18575.442000000003,16092.54
Central African Republic,10516.44,7486.860000000001,8030.7,9934.44,14970.72,6483.9,12469.859999999999,6861.24,12874.92,14440.92,6798.78,4090.3199999999997,5525.639999999999,2563.7999999999997,1722.9,1389.834,6810.222,2608.02,3576.96,6726.54,4707.72,5479.5,1373.4,5406.24,3756.8399999999997,6001.08,2203.602,3594.84,2228.1,3308.2980000000002
Colombia,863760.0,1078823.82,896812.68,685345.3200000001,777840.0,776281.08,646731.0,727349.76,652077.72,570734.754,631161.12,717016.98,702722.4,663157.44,685731.36,717137.982,729851.556,750905.844,519857.41800000006,485855.166,511359.564,459200.016,595616.6699999999,727444.212,800000.6100000001,840526.884,878063.358,829444.35,831957.72,846007.0920000001
Costa Rica,153713.1,165577.14,179878.44,141525.18000000002,148916.52,170615.76,133314.9,156996.0,146707.19999999998,149119.8,145112.16,134802.0,122604.78,113185.92,112550.394,99151.728,102364.386,107828.23800000001,89995.07999999999,88604.856,96821.976,109853.73000000001,109361.43599999999,93124.566,88503.672,86410.344,82313.778,93640.818,85599.408,88305.792
