Variable:,pr
,Colombia,Amazonas,Antioquia,Arauca,Atlantico,Bolivar,Boyaca,Buenaventura,Caldas,Caqueta,Casanare,Cauca,Cesar,Choco,Cordoba,Cundinamarca,Guainia,Guajira,Guaviare,Huila,Magdalena,Meta,Narino,"Norte De Santander",Putumayo,Quindio,Risaralda,"San Andres Y Providencia",Santander,Sucre,Tolima,"Valle Del Cauca",Vaupes,Vichada
1918,2560.92,2973.14,2629.81,1715.25,971.39,2086.86,1493.56,2768.36,2274.23,2747.03,2306.57,2768.36,1772.58,7012.52,1921.86,1671.08,3070.60,1008.66,2656.30,1652.82,1384.18,2389.69,2972.13,1656.19,3387.62,1991.36,2890.16,1856.56,2175.83,1652.52,1863.58,2956.76,3137.81,2492.07
1919,2574.52,2973.14,2747.08,1736.70,865.16,2008.49,1633.15,2740.76,2285.31,2755.25,2564.56,2740.76,1302.05,7274.03,1931.96,1759.62,3070.68,561.56,2736.83,1595.44,1089.44,2680.84,2856.56,1341.96,3228.32,1922.64,2968.42,1866.53,2192.48,1620.31,1732.64,2985.69,3137.81,2503.87
1920,2645.02,2973.14,2890.05,1775.84,941.22,2116.06,1861.17,2562.02,2526.39,2769.12,2808.26,2562.02,1621.74,7375.65,1939.68,2023.16,3070.73,830.89,2802.35,1639.76,1306.45,2968.30,2287.52,1534.89,2911.92,2098.92,3169.71,1861.31,2414.12,1646.51,1914.26,3093.27,3137.81,2513.64
1921,2885.68,2973.14,3245.29,1821.30,926.28,2172.14,2237.87,2893.12,3390.00,2878.32,3027.47,2893.12,1741.75,7915.06,1954.68,2636.50,3070.84,982.47,2925.95,2025.87,1316.75,3486.77,3026.35,1785.92,3461.78,2893.80,4126.86,1859.52,2849.19,1646.16,2672.54,3593.13,3137.81,2617.45
1922,2608.21,2971.02,2706.75,1876.80,947.48,2159.54,1661.53,2582.04,2347.19,2755.27,2580.25,2582.04,1953.74,7152.77,1928.10,1828.45,3052.06,1104.88,2737.21,1642.96,1422.70,2689.09,2415.88,2025.09,2935.33,2043.15,3003.56,1859.52,2339.24,1657.24,1876.58,3001.27,3126.81,2497.14
1923,2369.10,2927.81,2421.57,1485.51,903.87,1944.38,1247.68,2453.00,1701.53,2682.42,2163.27,2453.00,1439.68,6805.69,1914.59,1289.82,2994.23,826.50,2614.27,1370.73,1202.21,2197.17,2205.22,1270.00,2850.11,1450.76,2328.08,1852.88,1765.14,1626.57,1297.04,2646.46,2993.82,2459.62
1924,2570.73,2923.01,2655.28,1729.87,1017.60,2121.51,1524.44,2828.01,2161.16,2757.33,2421.04,2828.01,1886.91,7099.27,1927.18,1649.55,2990.80,1304.05,2672.99,1602.83,1495.66,2484.06,3150.89,1678.49,3620.38,1851.01,2790.39,1880.48,2106.93,1662.88,1703.17,2915.33,3000.42,2441.99
1925,2624.04,2998.74,2728.72,1653.65,832.58,1998.35,1684.05,2768.02,2437.98,2815.75,2559.31,2768.02,1392.88,7160.12,1924.08,1886.30,3148.55,689.81,2850.26,1690.64,1060.22,2808.27,2946.61,1443.19,3439.27,2078.77,3056.95,1861.60,2271.15,1615.98,1919.55,3020.01,3241.53,2461.83
1926,2495.92,2929.55,2661.73,1591.81,936.52,2037.65,1534.45,2497.22,2173.97,2723.03,2442.73,2497.22,1564.25,7117.11,1925.75,1675.28,3003.92,963.04,2705.58,1547.25,1272.33,2568.77,2160.61,1401.47,2898.72,1850.05,2825.31,1842.01,2065.08,1642.16,1684.11,2914.36,3036.89,2392.96
1927,2733.13,2993.96,2820.67,1863.24,911.70,2123.21,1778.52,2916.32,2499.07,2827.39,2714.77,2916.32,1788.93,7285.86,1933.38,1952.12,3180.87,1097.03,2873.33,1707.50,1333.31,2899.55,3328.19,1894.15,3653.34,2106.57,3137.32,1857.33,2406.11,1646.12,1935.91,3076.68,3252.67,2645.67
1928,2720.40,3222.90,2716.42,1714.69,967.97,2100.35,1629.32,2864.18,2362.39,2792.50,2509.49,2864.18,1779.32,7225.54,1927.52,1800.44,3556.58,1038.62,2816.93,1685.88,1385.08,2672.71,3217.03,1699.38,3502.83,2042.11,3041.67,1840.76,2228.39,1651.71,1874.24,3029.13,3929.03,2418.23
1929,2479.71,2975.27,2465.33,1597.24,877.49,1938.46,1406.26,2709.45,1851.64,2728.71,2351.67,2709.45,1390.71,6728.97,1911.47,1488.42,3121.81,837.96,2657.52,1449.07,1140.12,2403.16,2970.30,1269.98,3364.91,1560.00,2389.72,1819.87,1905.45,1618.70,1432.18,2680.35,3180.20,2504.05
1930,2438.97,2872.97,2643.43,1637.16,835.63,1965.15,1604.39,2214.59,2072.93,2615.28,2563.78,2214.59,1317.48,5360.61,1926.83,1684.90,2801.29,673.63,2731.10,1385.78,1048.07,2632.33,2667.05,1297.43,3187.60,1721.22,2626.19,1814.11,2129.50,1613.77,1569.43,2333.45,2753.31,2539.73
